sample_id,iteration,seed,Percentage of cleaned cells
0,0,32719425012947681791491384029882198792,0.0
0,1,336055671598796054469702578124861505695,0.0
0,2,169680267512442976588874485379879234738,0.0
0,3,28374150771068605159788379106368178148,0.0005
0,4,164412867510983923827445773740776447168,0.0005
0,5,299788499382765424879604137276660672044,0.001
0,6,210766612192367122175813387505699840138,0.0
0,7,105379217975738188414401768360068274994,0.0015
0,8,111415390680013606870055745080785612662,0.0
0,9,175941659808385190388601042547050905630,0.0015
0,10,117035330899338083103056718823697411117,0.0035
0,11,180837227444336741344309931046458732521,0.0005
0,12,60147542029552626207544133066426283938,0.0005
0,13,105963190076230530405681977697744495990,0.0005
0,14,270409347792121307690772726139364318713,0.002
0,15,247639178224047912579602536793775998809,0.001
0,16,35224921939905564422309903189130615088,0.0
0,17,191918329576006569885179011362451619068,0.0
0,18,103300409634051879453339732962218021418,0.0
0,19,103966385533433726081790347879117616426,0.0
0,20,102583609358846210927270048286630113990,0.0005
0,21,153193911240096952389113151537134095493,0.001
0,22,327075602164711933060735165915351190008,0.0
0,23,338323778349114509231799794579024555866,0.0005
0,24,73980707600963340328866933743879544533,0.0005
0,25,108986459824918988747596542734082702785,0.001
0,26,2880435456212785596018752333133563256,0.001
0,27,128409618079668983956500637751323316308,0.0
0,28,287425457287067799555051459445421141402,0.0
0,29,328614506181859329555887972290183807478,0.0
0,30,240093454304576978709159044911702182118,0.0
0,31,22733225289820300599268856824489237959,0.0005
0,32,149108443809799317342271010092222703995,0.0
0,33,142475468742613210971814106637124458844,0.0035
0,34,137835337822218828247551499047217704781,0.0
0,35,265659434648647154310209459843197070264,0.0
0,36,250156676333073410635905831739237451509,0.012
0,37,35200204968338863549325324060644255732,0.0
0,38,279686967255580950789394519908737760883,0.0
0,39,168129120868470046380690547131643889001,0.0005
1,0,236195743288738982993825832520006316066,0.0004679457182966776
1,1,214586672697844575678949011316270677531,0.0
1,2,264870953430099056761919903576837453361,0.0004679457182966776
1,3,187694197862363007157261509228392430332,0.0018717828731867104
1,4,68174783494709746994786323433485123163,0.0
1,5,234926495483163149135023115437745514266,0.0004679457182966776
1,6,172422902013707555634177352155043695926,0.003743565746373421
1,7,76213490680291784741577099029429120822,0.0
1,8,202659612542299322539380775514032633973,0.0014038371548900327
1,9,38619917036507093872430518589489687171,0.0
1,10,287275352659693207580249484998277432822,0.0070191857744501636
1,11,135146863845187254097990375739687910864,0.0004679457182966776
1,12,204425023713402477809855549137413699140,0.0004679457182966776
1,13,147524487218506954146238460489468645352,0.0
1,14,12130110198574718188238128375592739373,0.0
1,15,281197474027033051136868678292685996246,0.0009358914365933552
1,16,126893343697548621110590672276892131278,0.0
1,17,262340540196102533224215920257753490492,0.0
1,18,161275053218024653277907850355421560822,0.0009358914365933552
1,19,250850512582067353051643761744231806776,0.0018717828731867104
1,20,323024442855775084561048443413120342889,0.0009358914365933552
1,21,144560621152981645632823588721008991133,0.0009358914365933552
1,22,8457025994832853940205176513885782851,0.0004679457182966776
1,23,58729313484438477978765729712725513694,0.002339728591483388
1,24,191796389367124308890341075325377631341,0.003275620028076743
1,25,175089564049704624214583180210777814493,0.0004679457182966776
1,26,74820373927538519682824362967450737544,0.0
1,27,264577221521888004764557650288062413053,0.0004679457182966776
1,28,249639068981129046744895147252956712359,0.0
1,29,279778046575047232460620124654545748009,0.0004679457182966776
1,30,75801202964624857335606917936500976288,0.0
1,31,112474859063509166563498919793274334827,0.0018717828731867104
1,32,15699297411637551038766061399186496125,0.004679457182966776
1,33,235980120908316681454641166365970681661,0.0009358914365933552
1,34,332849327898008295989452343561560632483,0.0
1,35,287885974036747558031213068641985117704,0.0
1,36,315363825785111050213484403046945509560,0.0
1,37,11314479685292980847062779182074595421,0.0014038371548900327
1,38,93497028167070798505479677883353634562,0.0009358914365933552
1,39,95622890019997837140546934950042455506,0.0004679457182966776
2,0,322438964818418961737821747174847393599,0.0
2,1,114495412475111047035589574442532881893,0.0017582417582417582
2,2,110691660005512616644566336582226990284,0.0
2,3,87696060007223344758930007401284872024,0.0008791208791208791
2,4,81505740135426251440485427447804935592,0.0
2,5,140569217907107722097193873590465729172,0.0
2,6,333033287814085625733122803788976359114,0.0
2,7,268641206589999104727757122572003174624,0.00043956043956043956
2,8,85326275773163292710499135286738857478,0.00043956043956043956
2,9,133113923302431089824797004670761686485,0.0013186813186813187
2,10,116088931940064661926239082378540971398,0.0
2,11,70293379156667625714987406771484325835,0.0
2,12,117707056695743802828600254686359445173,0.0026373626373626374
2,13,169631656487262209780215139149800621146,0.0
