iteration,seed,Percentage of trash
0,228802291933725943510825189399107281135,0.37916666666666665
1,305250837279713717130501726235341535625,0.3020833333333333
2,139111476541857188624690065377046324648,0.27708333333333335
3,127689870643534986406971984676494926076,0.33958333333333335
4,22493360274961573746897428925994773324,0.3333333333333333
5,185614715413949826464593024755859453916,0.26875
6,4385456430707412842097679533836400127,0.33541666666666664
7,255541479903060899522854132522699825614,0.2791666666666667
8,109984131204953550725467892849318187868,0.34375
9,293527654505620254650002700954495672979,0.3375
10,305424664724928816632535714846320502252,0.2791666666666667
11,310528555559912335691805040476818546314,0.2833333333333333
12,210372857792480036708916224539906711557,0.34791666666666665
13,149653990642271970387272435407658350737,0.34791666666666665
14,211465962620789340681310765921475783281,0.3770833333333333
15,107224548544523002635580862809395791896,0.3958333333333333
16,195135403078343163981745867393842143561,0.40208333333333335
17,226031372258522071278551363894550564814,0.37916666666666665
18,254766080598210258481796914485156751030,0.325
19,56508362021359471283760957611232021216,0.2916666666666667
20,60773672521494312894884069742683634475,0.3416666666666667
21,259574278675113916044462198295494601039,0.35833333333333334
22,78485181110023653168001024222147466805,0.375
23,200807154161325281834530814009517273972,0.3458333333333333
24,100679223920043709498408441621119798091,0.38958333333333334
25,62617202763736321260546196620247961583,0.30625
26,273899493283202166773367329811796497130,0.28958333333333336
27,55507113287776689526851522881293155284,0.39375
28,32997983099903129172973312855448637307,0.25
29,204546414326497930988474283850024094225,0.37083333333333335
30,335832637956599068822547635199221224454,0.325
31,263882923122012799883469533286382036200,0.325
32,150335684694901737119826132365974714464,0.30833333333333335
33,178355218241156469715505430091130012361,0.2604166666666667
34,86201677829670788306503995435447404197,0.35833333333333334
35,96183463626335223514156513653072260574,0.29791666666666666
36,195054927507780661543842377883656810481,0.3625
37,132786323645701947532587646405671377721,0.30416666666666664
38,97533938170305748659735965346885987541,0.2520833333333333
39,59905072975941093535490361306599187579,0.325
