iteration,seed,Percentage of trash
0,144110668542616167235690598567515888012,0.3375
1,12883938756881580814918300149288360738,0.39166666666666666
2,144666361404785053111945649710074356431,0.43125
3,173229954759693144512409333961259973492,0.29375
4,172597294087763933731899373824407907825,0.35833333333333334
5,81399904337546241912755003083036505039,0.3229166666666667
6,163464304672622860782334200802344063701,0.32916666666666666
7,18737338810330382606973388412781039367,0.3104166666666667
8,155346343550070656682611432975970076114,0.31875
9,337291142939516012134206733285614816735,0.27708333333333335
10,218317887303615560145408937474484293730,0.35833333333333334
11,308546415406578109365647168859033083439,0.29791666666666666
12,247371521356800814974732370223213637152,0.25625
13,162699131664176834143506512340136180893,0.32916666666666666
14,220520928518197192972071043637331550947,0.32708333333333334
15,157125247702321426804490367050950308912,0.28125
16,333256165795015303080942346778329400865,0.26458333333333334
17,5564388674168629150307648031455944297,0.37083333333333335
18,65819752678971360860783359727482761769,0.3875
19,124932230282163425241072007101036263478,0.3770833333333333
20,270920055699347542460993970410360156933,0.3625
21,335288354734057557270943204029463338984,0.26875
22,13190035511479616873120072932408171578,0.33541666666666664
23,283796710218257584163950865984849460970,0.3125
24,291384238454334590816734562732551358966,0.28541666666666665
25,69956641650599023865919484980333138038,0.2375
26,2901727507805030103738063275659571444,0.28541666666666665
27,212098703703157866035009635519651808027,0.26666666666666666
28,32537875983488424790949874765631033753,0.43125
29,315719365470920702315562149837021546508,0.37083333333333335
30,189329466647764599911525742559811093142,0.29583333333333334
31,305969239609525361146101011538386888637,0.325
32,34647654973411187585727520277723822709,0.275
33,229996635960998973739193428017248094870,0.31666666666666665
34,118274505167941551985980881171255808723,0.2791666666666667
35,213278913779674486854047838770043106065,0.275
36,220933285887579872703785295483164796991,0.33125
37,78935039507334094725244667631986804971,0.3416666666666667
38,53287636166604840415218584790906617301,0.3458333333333333
39,331665118850907620772503160662309897985,0.3145833333333333
