sample_id,iteration,seed,Percentage of burned trees
0,0,144697154440055795872161560596132187294,0.0025
0,1,136777623632623673043266911382921347984,0.0
0,2,3188373188919498046185282383021547361,0.0
0,3,46012013220311779156551180359651484090,0.0
0,4,206376867362336444502427302309480072925,0.0005
0,5,253842524937186902591799494742734811240,0.0
0,6,31062167499865976612223492313992887612,0.0
0,7,180975420841589452586167708786839669834,0.0
0,8,180923787986227279809853107062742070919,0.0015
0,9,72530147972946360724293264712247711816,0.0005
0,10,86810458430209359022505947298862165560,0.0
0,11,224661740589513016223662204944645231248,0.0005
0,12,247012167971184183365542929075512222651,0.0005
0,13,122513699968877397211797615402212945851,0.002
0,14,134792904109440393707291388117359777769,0.0005
0,15,280626933155117333762362613449479299756,0.0065
0,16,94020545786938930226575322311903163218,0.0
0,17,289401118292256195561558634549541927920,0.001
0,18,151236479126813326847491376522082087137,0.0
0,19,144939763128112945105873360738412219412,0.001
0,20,73594267471155667894164219012909061210,0.0
0,21,117226205340938339159461301763131170585,0.0
0,22,170194908436835033577157358891858803468,0.0015
0,23,230757789870717141720462057377529469756,0.004
0,24,126402937230364989804780310355423830983,0.002
0,25,60819813159511639772189391968520011594,0.001
0,26,65013243800897603745280543536430150090,0.0005
0,27,8723672973678977942094831135559802249,0.001
0,28,265812069288534760318527386839260274968,0.001
0,29,321355621145263163627502347327817087654,0.0
0,30,9514438788774378982180698323866858617,0.0
0,31,183524074087560187231127608324346792323,0.0005
0,32,206317464963052060778683625591117660060,0.0005
0,33,335527491709512102907107187635962309740,0.001
0,34,186001452268500251222758977222812824675,0.002
0,35,140168597525542575771239625380356545591,0.0015
0,36,220446170850821461536545043821492002797,0.0
0,37,172171471435600099297791815321616287737,0.0
0,38,89085376415353332756170465481576224680,0.0
0,39,15789632408635390734108940087476240746,0.0
1,0,287961583944968673754548253557909815485,0.0004679457182966776
1,1,294406515266459563132059982775843561585,0.0004679457182966776
1,2,77098200466933993333910498584914160510,0.0009358914365933552
1,3,74414968915583067317612712420139518803,0.0004679457182966776
1,4,167898345885592304128374602369447504692,0.0
1,5,275649717041963781384467753097160592018,0.0009358914365933552
1,6,278331646313506427256165347434692664415,0.0
1,7,204648175124717574849031779781787085324,0.009826860084230228
1,8,4266612318597419178912295832310814381,0.0009358914365933552
1,9,111942190704079388528202779262442692307,0.0
1,10,335790630824935508246315205482521103564,0.0
1,11,70070200784899503623725337495010926705,0.0
1,12,87813300511442423255349617270534550742,0.0004679457182966776
1,13,170720339974235164888614191173186753383,0.008423022929340197
1,14,190815435329786487379893643116561096621,0.0018717828731867104
1,15,332006768668740541780238972570673231500,0.0004679457182966776
1,16,265067730665029262568209684867632977709,0.0028076743097800653
1,17,60754155224254608944787584295591074928,0.0004679457182966776
1,18,253487441257155571959654372369324842193,0.0
1,19,107121469834459409331816425927034285165,0.0004679457182966776
1,20,3949398912823741632753142243834597464,0.002339728591483388
1,21,276471590326686797626719973879216889253,0.0
1,22,81322399002161838351003522085496499316,0.005615348619560131
1,23,158158634439572096009693639289637801755,0.0004679457182966776
1,24,156818732718074216129873418497279568147,0.0004679457182966776
1,25,274790456569957219579523439170070132743,0.0
1,26,186910645135513277540891924513710720129,0.004679457182966776
1,27,49393013904700197219936174575011493745,0.0
1,28,160846630198729486473574520954824784339,0.0004679457182966776
1,29,64899980615974996632286902699924065159,0.0
1,30,217175602999917129451683056092032024802,0.0
1,31,52090304721088542206708496619187765684,0.0
1,32,197511150983016727424430276147020277504,0.0004679457182966776
1,33,97741203192232434324996106906166422400,0.0
1,34,296777227347784781729490981493184985440,0.0009358914365933552
1,35,135074662673192912956469011590452434296,0.0
1,36,212093559675699903056020405113931433274,0.0004679457182966776
1,37,112750667823013049949308899440439831980,0.0004679457182966776
1,38,150802658277174092879506654436445210650,0.0028076743097800653
1,39,14347139009375039208649283349312453981,0.0004679457182966776
2,0,212759000910145495499110219410452571869,0.0026373626373626374
2,1,272742163413911683188787165849687033470,0.0
2,2,146984097382471474971078152790515571754,0.00043956043956043956
2,3,287987364467615656679498551295031905406,0.0008791208791208791
2,4,219622030687194876442247019095703795601,0.0017582417582417582
2,5,202434418297797993712806980162419685419,0.0008791208791208791
2,6,213968040163282125899158313724892083957,0.002197802197802198
2,7,50364229711812378705183372625655618635,0.007032967032967033
2,8,273447939894068883251927571799106566425,0.00043956043956043956
2,9,298280040986897569984707843415424162674,0.0
2,10,214965506683558521839670529383062455813,0.00043956043956043956
2,11,301070914485856051373119570050301560691,0.00043956043956043956
2,12,185079523419578248849545729923407597187,0.00043956043956043956
2,13,285281805288060510766203393340027809989,0.00043956043956043956
2,14,90821178476476069712031643003139032408,0.0
2,15,60343548534864240612309393771682245797,0.00043956043956043956
2,16,116586303230359578127695800684132576956,0.0
2,17,304459945393648459936566086732596372083,0.0
2,18,47451280334545882991278304661040847391,0.0008791208791208791
2,19,198958399457149803272307268137620238583,0.004395604395604396
2,20,31111094988517406964181179918782438417,0.0
2,21,188421288204019068241637614317091261814,0.005274725274725275
2,22,276312910427390235215436154432515868182,0.00043956043956043956
2,23,7137767154681840147803728444831100132,0.00043956043956043956
2,24,233956448277557123057015350333370383387,0.00043956043956043956
2,25,140748506476926535428088032380557100528,0.00043956043956043956
